instance,0,1,2,3,4,5,6,7,8,9
DD_Ta051.txt,45634.0,45634.0,45634.0,45634.0,45634.0,45634.0,45705.0,45634.0,45634.0,45634.0
DD_Ta052.txt,47185.0,47185.0,46973.0,47185.0,48311.0,47185.0,47438.0,47185.0,47098.0,47185.0
DD_Ta053.txt,59848.0,60192.0,59848.0,59848.0,62234.0,59848.0,59848.0,59848.0,60078.0,59848.0
DD_Ta054.txt,53690.0,55163.0,53690.0,53690.0,55845.0,53690.0,53752.0,53690.0,53540.0,53690.0
DD_Ta055.txt,37317.0,37347.0,37317.0,37317.0,38744.0,37317.0,37822.0,37317.0,37453.0,37317.0
DD_Ta056.txt,41799.0,43023.0,43023.0,43023.0,44134.0,43023.0,43023.0,43023.0,43023.0,43023.0
DD_Ta057.txt,37118.0,37118.0,37118.0,37465.0,37255.0,37118.0,37118.0,37118.0,37118.0,36469.0
DD_Ta058.txt,44206.0,46788.0,46788.0,44877.0,46788.0,46788.0,46788.0,46306.0,46788.0,46788.0
DD_Ta059.txt,49154.0,49154.0,49080.0,49154.0,49154.0,49154.0,47539.0,49154.0,49154.0,49141.0
DD_Ta060.txt,84798.0,85466.0,84800.0,84800.0,86175.0,84800.0,84800.0,84800.0,84800.0,84788.0
DD_Ta081.txt,585062.0,556878.0,613159.0,618870.0,606789.0,593443.0,608067.0,608150.0,619199.0,574413.0
DD_Ta082.txt,493477.0,437385.0,481897.0,489731.0,478300.0,470329.0,501821.0,477500.0,476693.0,467024.0
DD_Ta083.txt,624469.0,557897.0,607664.0,635474.0,614319.0,590070.0,643112.0,599767.0,591667.0,587568.0
DD_Ta084.txt,738756.0,655672.0,707570.0,718035.0,718010.0,716424.0,769261.0,723175.0,719089.0,694226.0
DD_Ta085.txt,608907.0,571788.0,627667.0,652176.0,614932.0,602354.0,660010.0,625749.0,617082.0,608681.0
DD_Ta086.txt,682483.0,605099.0,628159.0,702999.0,677923.0,650746.0,670243.0,667368.0,660976.0,641224.0
DD_Ta087.txt,536417.0,494855.0,553692.0,562123.0,536066.0,525017.0,563338.0,545212.0,537063.0,544625.0
DD_Ta088.txt,555618.0,492433.0,536052.0,539387.0,544981.0,537366.0,528530.0,519580.0,566568.0,522967.0
DD_Ta089.txt,756503.0,676791.0,704457.0,754263.0,741511.0,697949.0,759833.0,756888.0,720882.0,720304.0
DD_Ta090.txt,582375.0,546510.0,585641.0,617319.0,597755.0,580982.0,625876.0,589836.0,597117.0,586242.0
