instance,0,1,2,3,4,5,6,7,8,9
DD_Ta051.txt,31891.0,19549.0,21305.0,17241.0,29960.0,18421.0,25915.0,20758.0,23328.0,17928.0
DD_Ta052.txt,24949.0,36164.0,29068.0,28728.0,30012.0,26914.0,31653.0,29460.0,30492.0,28586.0
DD_Ta053.txt,36506.0,39757.0,26109.0,30602.0,41733.0,29045.0,36486.0,30555.0,32620.0,33481.0
DD_Ta054.txt,38222.0,41832.0,31105.0,31613.0,32460.0,44595.0,43047.0,36636.0,26531.0,21603.0
DD_Ta055.txt,30190.0,30396.0,30522.0,30746.0,23949.0,23229.0,24938.0,27803.0,21435.0,20989.0
DD_Ta056.txt,28959.0,22933.0,30540.0,21211.0,21163.0,30536.0,25151.0,25581.0,25106.0,23099.0
DD_Ta057.txt,26709.0,24574.0,24095.0,26009.0,22312.0,25729.0,32322.0,32334.0,21833.0,29282.0
DD_Ta058.txt,28159.0,33596.0,25449.0,27618.0,27152.0,25538.0,27157.0,22254.0,28342.0,21946.0
DD_Ta059.txt,27458.0,34068.0,31802.0,31952.0,33742.0,26537.0,29530.0,22737.0,35233.0,19506.0
DD_Ta060.txt,57042.0,52234.0,48677.0,56494.0,42661.0,51779.0,44684.0,55543.0,52835.0,53304.0
DD_Ta081.txt,280330.0,268841.0,314670.0,299538.0,284713.0,287697.0,226341.0,340924.0,208894.0,310193.0
DD_Ta082.txt,204002.0,240646.0,212221.0,236901.0,180773.0,202719.0,219844.0,185623.0,255938.0,222510.0
DD_Ta083.txt,320051.0,299062.0,330364.0,304970.0,285104.0,331474.0,342077.0,304711.0,330483.0,297472.0
DD_Ta084.txt,370851.0,347948.0,459098.0,406182.0,416133.0,338837.0,298794.0,367775.0,348909.0,368338.0
DD_Ta085.txt,377515.0,359442.0,330787.0,309749.0,296286.0,308240.0,332990.0,283984.0,298702.0,329746.0
DD_Ta086.txt,299267.0,267937.0,255048.0,298646.0,314954.0,313998.0,348900.0,231059.0,366527.0,260156.0
DD_Ta087.txt,266689.0,294176.0,298988.0,233544.0,247363.0,259672.0,258289.0,246486.0,235264.0,299755.0
DD_Ta088.txt,291425.0,228835.0,250305.0,266118.0,204287.0,279265.0,273444.0,288447.0,301815.0,267006.0
DD_Ta089.txt,375840.0,368157.0,395868.0,482626.0,369889.0,399123.0,375282.0,412507.0,441554.0,467620.0
DD_Ta090.txt,322415.0,327173.0,285320.0,303568.0,319981.0,335848.0,289285.0,304399.0,299636.0,326493.0
