algo1,algo2,instance,pval,statistic
RankBasedAS-LS,RankBasedAS,DD_Ta051.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta052.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta053.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta054.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta055.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta056.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta057.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta058.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta059.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta060.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta081.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta082.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta083.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta084.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta085.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta086.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta087.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta088.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta089.txt,5.38074195606203e-05,0.0
RankBasedAS-LS,RankBasedAS,DD_Ta090.txt,5.38074195606203e-05,0.0
